objectid,objecttype,attributeid,attributetype
chndm_1921-6-472-6,object,1590s,date
chndm_1921-6-472-6,object,1600s,date
chndm_1921-6-504-11,object,1730s,date
chndm_1921-6-504-11,object,1770s,date
chndm_1921-6-82,object,1680s,date
chndm_1921-6-82,object,1690s,date
chndm_1921-6-94-3,object,1660s,date
chndm_1921-6-97-1,object,1670s,date
chndm_1921-6-97-2,object,1670s,date
chndm_1921-6-99,object,1660s,date
chndm_1923-14-1,object,1800s,date
chndm_1923-14-1,object,1820s,date
chndm_1923-22-28,object,1800s,date
chndm_1923-22-28,object,1830s,date
chndm_1923-22-4,object,1800s,date
chndm_1923-22-4,object,1830s,date
chndm_1923-41-5,object,1870s,date
chndm_1923-41-7,object,1870s,date
chndm_1923-46-117,object,1800s,date
chndm_1923-46-117,object,1900s,date
chndm_1923-51-1,object,1810s,date
chndm_1923-51-15,object,1800s,date
chndm_1923-51-15,object,1900s,date
chndm_1923-6-25,object,1890s,date
chndm_1923-6-44,object,1900s,date
chndm_1923-7-35-a_b,object,1750s,date
chndm_1923-7-35-a_b,object,1800s,date
chndm_1923-7-48,object,1800s,date
chndm_1923-7-48,object,1820s,date
chndm_1924-15-134,object,1720s,date
chndm_1924-15-134,object,1770s,date
chndm_1924-15-43-b,object,1750s,date
chndm_1924-15-43-b,object,1800s,date
chndm_1924-33-1-a_b,object,1720s,date
chndm_1924-33-1-a_b,object,1770s,date
chndm_1924-36-2,object,1770s,date
chndm_1924-36-2,object,1820s,date
chndm_1924-38-167,object,1820s,date
chndm_1924-38-167,object,1840s,date
chndm_1925-2-21-a,object,1770s,date
chndm_1925-2-21-a,object,1800s,date
chndm_1926-22-118-b,object,1730s,date
chndm_1926-22-118-b,object,1800s,date
chndm_1926-22-184,object,1660s,date
chndm_1926-22-184,object,1720s,date
chndm_1926-22-65-a,object,1860s,date
chndm_1926-22-65-a,object,1870s,date
chndm_1926-37-169,object,1800s,date
chndm_1926-37-169,object,1900s,date
chndm_1926-43-1-81,object,1710s,date
chndm_1926-43-1-81,object,1730s,date
chndm_1926-43-4-155,object,1710s,date
chndm_1926-43-4-155,object,1730s,date
chndm_1926-43-4-169,object,1710s,date
chndm_1926-43-4-169,object,1730s,date
chndm_1926-43-4-213,object,1710s,date
chndm_1926-43-4-213,object,1730s,date
chndm_1926-43-4-379,object,1710s,date
chndm_1926-43-4-379,object,1730s,date
chndm_1926-43-4-435,object,1710s,date
chndm_1926-43-4-435,object,1730s,date
chndm_1926-43-4-45,object,1710s,date
chndm_1926-43-4-45,object,1730s,date
chndm_1926-43-4-50,object,1710s,date
chndm_1926-43-4-50,object,1730s,date
chndm_1926-43-4-550,object,1710s,date
chndm_1926-43-4-550,object,1730s,date
chndm_1926-43-4-625,object,1710s,date
chndm_1926-43-4-625,object,1730s,date
chndm_1926-43-4-74,object,1710s,date
chndm_1926-43-4-74,object,1730s,date
chndm_1926-43-4-95,object,1710s,date
chndm_1926-43-4-95,object,1730s,date
chndm_1926-43-5-104,object,1710s,date
chndm_1926-43-5-104,object,1730s,date
chndm_1926-43-5-211,object,1710s,date
chndm_1926-43-5-211,object,1730s,date
chndm_1926-43-5-217,object,1710s,date
chndm_1926-43-5-217,object,1730s,date
